filename	ns	tau	cov	pr	rc	f	wcov	wpr	wrc	wf	mi	ru	s
pred_blast2go.tsv	biological_process	0.00100	0.60507	0.91208	0.43079	0.58519	0.60507	0.90707	0.41420	0.56871	1.34495	11.62208	11.69964
pred_blast2go.tsv	biological_process	0.00200	0.60507	0.91208	0.43079	0.58519	0.60507	0.90707	0.41420	0.56871	1.34495	11.62208	11.69964
pred_blast2go.tsv	biological_process	0.00300	0.60507	0.91208	0.43079	0.58519	0.60507	0.90707	0.41420	0.56871	1.34495	11.62208	11.69964
pred_blast2go.tsv	biological_process	0.00400	0.60507	0.91208	0.43079	0.58519	0.60507	0.90707	0.41420	0.56871	1.34495	11.62208	11.69964
pred_blast2go.tsv	biological_process	0.00500	0.60507	0.91208	0.43079	0.58519	0.60507	0.90707	0.41420	0.56871	1.34495	11.62208	11.69964
pred_blast2go.tsv	biological_process	0.00600	0.60507	0.91208	0.43079	0.58519	0.60507	0.90707	0.41420	0.56871	1.34495	11.62208	11.69964
pred_blast2go.tsv	biological_process	0.00700	0.60507	0.91208	0.43079	0.58519	0.60507	0.90707	0.41420	0.56871	1.34495	11.62208	11.69964
pred_blast2go.tsv	biological_process	0.00800	0.60507	0.91208	0.43079	0.58519	0.60507	0.90707	0.41420	0.56871	1.34495	11.62208	11.69964
pred_blast2go.tsv	biological_process	0.00900	0.60507	0.91208	0.43079	0.58519	0.60507	0.90707	0.41420	0.56871	1.34495	11.62208	11.69964
pred_blast2go.tsv	biological_process	0.01000	0.60507	0.91208	0.43079	0.58519	0.60507	0.90707	0.41420	0.56871	1.34495	11.62208	11.69964
pred_blast2go.tsv	biological_process	0.01100	0.60507	0.91208	0.43079	0.58519	0.60507	0.90707	0.41420	0.56871	1.34495	11.62208	11.69964
pred_blast2go.tsv	biological_process	0.01200	0.60507	0.91208	0.43079	0.58519	0.60507	0.90707	0.41420	0.56871	1.34495	11.62208	11.69964
pred_blast2go.tsv	biological_process	0.01300	0.60507	0.91208	0.43079	0.58519	0.60507	0.90707	0.41420	0.56871	1.34495	11.62208	11.69964
pred_blast2go.tsv	biological_process	0.01400	0.60507	0.91208	0.43079	0.58519	0.60507	0.90707	0.41420	0.56871	1.34495	11.62208	11.69964
pred_blast2go.tsv	biological_process	0.01500	0.60507	0.91208	0.43079	0.58519	0.60507	0.90707	0.41420	0.56871	1.34495	11.62208	11.69964
pred_blast2go.tsv	biological_process	0.01600	0.60507	0.91208	0.43079	0.58519	0.60507	0.90707	0.41420	0.56871	1.34495	11.62208	11.69964
pred_blast2go.tsv	biological_process	0.01700	0.60507	0.91208	0.43079	0.58519	0.60507	0.90707	0.41420	0.56871	1.34495	11.62208	11.69964
pred_blast2go.tsv	biological_process	0.01800	0.60507	0.91208	0.43079	0.58519	0.60507	0.90707	0.41420	0.56871	1.34495	11.62208	11.69964
pred_blast2go.tsv	biological_process	0.01900	0.60507	0.91208	0.43079	0.58519	0.60507	0.90707	0.41420	0.56871	1.34495	11.62208	11.69964
pred_blast2go.tsv	biological_process	0.02000	0.60507	0.91208	0.43079	0.58519	0.60507	0.90707	0.41420	0.56871	1.34495	11.62208	11.69964
pred_blast2go.tsv	biological_process	0.02100	0.60507	0.91208	0.43079	0.58519	0.60507	0.90707	0.41420	0.56871	1.34495	11.62208	11.69964
pred_blast2go.tsv	biological_process	0.02200	0.60507	0.91208	0.43079	0.58519	0.60507	0.90707	0.41420	0.56871	1.34495	11.62208	11.69964
pred_blast2go.tsv	biological_process	0.02300	0.60507	0.91208	0.43079	0.58519	0.60507	0.90707	0.41420	0.56871	1.34495	11.62208	11.69964
pred_blast2go.tsv	biological_process	0.02400	0.60507	0.91208	0.43079	0.58519	0.60507	0.90707	0.41420	0.56871	1.34495	11.62208	11.69964
pred_blast2go.tsv	biological_process	0.02500	0.60507	0.91208	0.43079	0.58519	0.60507	0.90707	0.41420	0.56871	1.34495	11.62208	11.69964
pred_blast2go.tsv	biological_process	0.02600	0.60507	0.91208	0.43079	0.58519	0.60507	0.90707	0.41420	0.56871	1.34495	11.62208	11.69964
pred_blast2go.tsv	biological_process	0.02700	0.60507	0.91208	0.43079	0.58519	0.60507	0.90707	0.41420	0.56871	1.34495	11.62208	11.69964
pred_blast2go.tsv	biological_process	0.02800	0.60507	0.91208	0.43079	0.58519	0.60507	0.90707	0.41420	0.56871	1.34495	11.62208	11.69964
pred_blast2go.tsv	biological_process	0.02900	0.60507	0.91208	0.43079	0.58519	0.60507	0.90707	0.41420	0.56871	1.34495	11.62208	11.69964
pred_blast2go.tsv	biological_process	0.03000	0.60507	0.91208	0.43079	0.58519	0.60507	0.90707	0.41420	0.56871	1.34495	11.62208	11.69964
