group	label	ns	tau	cov	ru	mi	s
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.001	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.002	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.003	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.004	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.005	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.006	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.007	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.008	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.009	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.010	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.011	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.012	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.013	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.014	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.015	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.016	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.017	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.018	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.019	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.020	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.021	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.022	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.023	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.024	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.025	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.026	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.027	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.028	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.029	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.030	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.031	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.032	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.033	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.034	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.035	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.036	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.037	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.038	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.039	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.040	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.041	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.042	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.043	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.044	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.045	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.046	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.047	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.048	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.049	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.050	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.051	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.052	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.053	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.054	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.055	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.056	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.057	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.058	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.059	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.060	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.061	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.062	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.063	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.064	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.065	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.066	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.067	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.068	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.069	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.070	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.071	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.072	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.073	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.074	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.075	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.076	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.077	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.078	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.079	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.080	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.081	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.082	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.083	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.084	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.085	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.086	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.087	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.088	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.089	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.090	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.091	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.092	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.093	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.094	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.095	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.096	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.097	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.098	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.099	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.100	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.101	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.102	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.103	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.104	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.105	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.106	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.107	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.108	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.109	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.110	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.111	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.112	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.113	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.114	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.115	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.116	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.117	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.118	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.119	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.120	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.121	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.122	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.123	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.124	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.125	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.126	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.127	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.128	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.129	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.130	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.131	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.132	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.133	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.134	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.135	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.136	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.137	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.138	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.139	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.140	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.141	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.142	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.143	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.144	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.145	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.146	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.147	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.148	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.149	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.150	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.151	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.152	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.153	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.154	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.155	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.156	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.157	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.158	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.159	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.160	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.161	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.162	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.163	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.164	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.165	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.166	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.167	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.168	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.169	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.170	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.171	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.172	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.173	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.174	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.175	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.176	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.177	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.178	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.179	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.180	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.181	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.182	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.183	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.184	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.185	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.186	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.187	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.188	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.189	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.190	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.191	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.192	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.193	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.194	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.195	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.196	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.197	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.198	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.199	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.200	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.201	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.202	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.203	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.204	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.205	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.206	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.207	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.208	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.209	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.210	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.211	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.212	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.213	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.214	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.215	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.216	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.217	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.218	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.219	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.220	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.221	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.222	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.223	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.224	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.225	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.226	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.227	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.228	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.229	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.230	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.231	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.232	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.233	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.234	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.235	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.236	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.237	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.238	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.239	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.240	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.241	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.242	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.243	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.244	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.245	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.246	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.247	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.248	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.249	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.250	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.251	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.252	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.253	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.254	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.255	0.605	11.622	1.345	11.700
pred_blast2go.tsv	pred_blast2go.tsv	biological_process	0.256	0.605	11.622	1.345	11.700
